Year|Month|Day|Time|End Year|End Month|End Day|End Time|Display Date|Headline|Text|Media|Media Credit|Media Caption|Media Thumbnail|Alt Text|Type|Group|Background
1857 | | | | 1870 | | | | 1857-1870 | Repression of Muslims | <h3>Event Summary</h3><p>Following the 1857 revolt, the British implemented a policy of repression against Muslims.</p><h4>Key Details</h4><ul><li>Muslims faced specific targeting after the 1857 revolt</li><li>Part of the British "divide and rule" strategy</li><li>This policy changed after 1870</li></ul> | | | | | | | British |
1870 | | | | | | | | Post-1870 | British Policy Shift Towards Muslims | <h3>Event Summary</h3><p>After 1870, the British changed their approach towards Muslims, using educated Muslims against the nationalist movement.</p><h4>Key Details</h4><ul><li>Shifted from repression to strategic alliance</li><li>Specifically targeted educated Muslims</li><li>Used as a counterweight against growing nationalism</li></ul> | | | | | | | British |
1875 | | | | | | | | | First Factory Commission Appointed | <h3>Event Summary</h3><p>The first commission was appointed to investigate factory conditions in India.</p><h4>Key Details</h4><ul><li>First official investigation into Indian factory conditions</li><li>Represented early steps toward labor legislation</li></ul> | | | | | | | British |
1876 | | | | | | | | | Queen's Kaiser-i-Hind Title | <h3>Event Summary</h3><p>Queen Victoria was given the title of Kaiser-i-Hind (Empress of India), ending the fiction of princely states' equality with the British Crown.</p><h4>Key Details</h4><ul><li>Emphasized British sovereignty over all of India</li><li>Clarified that princes ruled merely as British agents</li><li>Formalized the subordinate status of princely states</li></ul> | | | | | | | British |
1878 | | | | | | | | | Vernacular Press Act | <h3>Event Summary</h3><p>Lord Lytton reimposed press restrictions through the Vernacular Press Act of 1878.</p><h4>Key Details</h4><ul><li>Targeted Indian-language newspapers</li><li>Implemented by Viceroy Lord Lytton</li><li>Aimed at controlling nationalist press</li></ul> | | | | | | | British |
1881 | | | | | | | | | Indian Factory Act | <h3>Event Summary</h3><p>The first Indian Factory Act was passed to address child labor conditions.</p><h4>Key Details</h4><ul><li>Focused on children aged 7-12</li><li>Prohibited employment of children 7 years or younger</li><li>Limited working hours to no more than 9 hours per day for children</li></ul> | | | | | | | British |
1882 | | | | | | | | | Repeal of Vernacular Press Act | <h3>Event Summary</h3><p>The Vernacular Press Act was repealed following public protest.</p><h4>Key Details</h4><ul><li>Public protests led to the repeal</li><li>Represented a victory for press freedom advocates</li></ul> | | | | | | | British |
1891 | | | | | | | | | Improved Indian Factory Act | <h3>Event Summary</h3><p>An improved Indian Factory Act was passed with better protections for child and women workers.</p><h4>Key Details</h4><ul><li>Prohibited employment of children 9 years or younger</li><li>Limited children's working hours to no more than 7 hours per day</li><li>Prohibited women from working more than 11 hours per day</li><li>Tea and coffee plantations were excluded from these protections</li></ul> | | | | | | | British |
1813 | | | | | | | | | Charter Act of 1813 | <h3>Event Summary</h3><p>The Charter Act of 1813 established one-way free trade that benefited Britain at the expense of India.</p><h4>Key Details</h4><ul><li>Introduced one-way free trade benefiting Britain</li><li>Part of the economic transformation that served British interests</li><li>Contributed to India's deindustrialization</li></ul><h4>Significance</h4><p>This act was a key policy that helped transform India's economy to serve British interests and contributed to the decline of India's share in the world economy from 23% in the early 18th century to 3% at independence.</p> | | | | | | | Constitutional Development |
1813 | | | | | | | | | Prohibition of Indian Ships Below 350 Tonnes | <h3>Event Summary</h3><p>In 1813, ships below 350 tonnes were prohibited from India-Britain routes.</p><h4>Key Details</h4><ul><li>Part of systematic destruction of Indian shipbuilding industry</li><li>Restricted Indian participation in maritime trade</li><li>Contributed to the decline of Indian shipbuilding centers</li></ul><h4>Significance</h4><p>This prohibition was one of the measures that destroyed the Indian shipbuilding industry, which had centers in Surat, Malabar, Masulipatnam, and Bengal.</p> | | | | | | | Economic Policies |
1814 | | | | | | | | | Denial of "British-registered vessels" Status | <h3>Event Summary</h3><p>In 1814, Indian-built ships were denied "British-registered vessels" status for America/Europe trade.</p><h4>Key Details</h4><ul><li>Further restricted Indian shipbuilding industry</li><li>Prevented Indian ships from participating in lucrative trade routes</li><li>Part of systematic destruction of Indian maritime commerce</li></ul><h4>Significance</h4><p>This policy, along with other measures, contributed to the destruction of the once-thriving Indian shipbuilding industry.</p> | | | | | | | Economic Policies |
1815 | | | | | | | | | Transfer of Bengal Land Ownership | <h3>Event Summary</h3><p>By 1815, half of Bengal land had been transferred to merchants and moneylenders.</p><h4>Key Details</h4><ul><li>Result of the Permanent Settlement system</li><li>Led to emergence of new zamindars focused on land grabbing</li><li>Contributed to sub-infeudation and absentee landlordism</li></ul><h4>Significance</h4><p>This massive transfer of land ownership represented the emergence of intermediaries and the ruin of old zamindars, with new landowners making no investment in agricultural improvements.</p> | | | | | | | Economic Policies |
1820 | | | | | | | | "After 1820" | European Markets Closed to Indian Products | <h3>Event Summary</h3><p>After 1820, European markets were virtually closed to Indian products through high tariffs.</p><h4>Key Details</h4><ul><li>Indian products faced 80% European tariffs</li><li>Markets virtually closed after 1820</li><li>Contributed to India's transformation from net exporter to net importer</li></ul><h4>Significance</h4><p>This closure of European markets to Indian goods was a key factor in India's deindustrialization and economic decline under British rule.</p> | | | | | | | Economic Policies |
1854 | | | | | | | | | First Cotton Textile Mill in Bombay | <h3>Event Summary</h3><p>The first cotton textile mill in India was established in Bombay in 1854.</p><h4>Key Details</h4><ul><li>Represented the beginning of modern textile industry in India</li><li>Part of limited indigenous industrial development</li><li>Developed despite handicaps like credit problems and unequal foreign competition</li></ul><h4>Significance</h4><p>This mill marked the start of modern industrial development in India, though it faced significant challenges including lack of tariff protection and credit problems.</p> | | | | | | | Economic Policies |
1855 | | | | | | | | | First Jute Mill in Rishra, Bengal | <h3>Event Summary</h3><p>The first jute mill in India was established in Rishra, Bengal in 1855.</p><h4>Key Details</h4><ul><li>Represented the beginning of modern jute industry in India</li><li>Part of limited indigenous industrial development</li><li>Developed despite significant handicaps imposed by colonial policies</li></ul><h4>Significance</h4><p>This mill was part of the limited industrial development that occurred in India despite colonial policies that generally hindered industrialization.</p> | | | | | | | Economic Policies |
1857 | | | | 1900 | | | | "1857-1900" | Famine Deaths Under British Rule | <h3>Event Summary</h3><p>Between 1857 and 1900, approximately 2.8 crore (28 million) people died in famines across India.</p><h4>Key Details</h4><ul><li>Famines were caused by poverty, not just scarcity</li><li>Result of colonial economic policies</li><li>Reflected the impoverishment of the Indian population under British rule</li></ul><h4>Significance</h4><p>These massive famine deaths demonstrated the devastating human cost of British economic policies in India.</p> | | | | | | | British |
1860 | | | | 1869 | | | | "1860s" | Disillusionment with British Rule | <h3>Event Summary</h3><p>In the 1860s, Indian intellectuals began to experience disillusionment with British rule and started examining its reality.</p><h4>Key Details</h4><ul><li>Marked a shift from earlier support for British rule based on expectations of modernization</li><li>Led to critical examination of colonial economic policies</li><li>Preceded the development of nationalist economic critique</li></ul><h4>Significance</h4><p>This disillusionment was a crucial step in the development of nationalist consciousness and critique of colonial economic policies.</p> | | | | | | | Freedom Movement |
1860 | | | | 1869 | | | | "1860s" | Cotton Boom and Bust | <h3>Event Summary</h3><p>In the 1860s, a cotton boom temporarily benefited intermediaries, but the price slump in 1866 caused widespread indebtedness and famine.</p><h4>Key Details</h4><ul><li>Part of the forced commercialization of Indian agriculture</li><li>Boom primarily benefited intermediaries rather than cultivators</li><li>Price slump in 1866 led to indebtedness and famine</li></ul><h4>Significance</h4><p>This boom and bust cycle demonstrated how the commercialization of agriculture under colonial rule primarily benefited intermediaries while leaving cultivators vulnerable to market fluctuations.</p> | | | | | | | Economic Policies |
1860 | | | | | | | | "1860s onwards" | Third Stage of Colonialism | <h3>Event Summary</h3><p>From the 1860s onwards, British colonialism in India entered its third stage, characterized by foreign investment and international competition.</p><h4>Key Details</h4><ul><li>Marked by large British capital investments in railways, loans, plantations, coal mining, jute mills, shipping, and banking</li><li>Characterized by reactionary imperialist policies and strengthened colonial rule</li><li>Coincided with Britain's industrial supremacy being challenged by other countries</li></ul><h4>Significance</h4><p>This third stage of colonialism represented the consolidation of British control through capital investment while using India's resources to maintain Britain's global position.</p> | | | | | | | British |
1866 | | | | | | | | | Cotton Price Slump | <h3>Event Summary</h3><p>In 1866, a cotton price slump caused widespread indebtedness and famine among Indian cultivators.</p><h4>Key Details</h4><ul><li>Followed the cotton boom of the 1860s</li><li>Demonstrated the vulnerability of Indian agriculture to market fluctuations</li><li>Revealed how commercialization primarily benefited intermediaries rather than cultivators</li></ul><h4>Significance</h4><p>This price slump highlighted the negative consequences of forced commercialization of agriculture under colonial rule for Indian cultivators.</p> | | | | | | | Economic Policies |
1875 | | | | 1905 | | | | "1875-1905" | Moderate Phase of Nationalist Movement | <h3>Event Summary</h3><p>From 1875 to 1905, the Indian nationalist movement went through its "moderate phase," stimulated by economic critique of British rule.</p><h4>Key Details</h4><ul><li>Nationalist economic critique undermined British ideological hegemony</li><li>Exposed the myth that foreign rule benefited Indians</li><li>Demonstrated that India's poverty resulted from British interests</li></ul><h4>Significance</h4><p>This period of intellectual unrest laid the groundwork for later demands for self-rule by exposing the economic exploitation inherent in British colonialism.</p> | | | | | | | Freedom Movement |
1780 | | | | 1782 | | | | | James Hickey starts Bengal Gazette | <h3>Event Summary</h3><p>James Hickey started the Bengal Gazette / Calcutta General Advertiser, which was the first Indian newspaper. It was seized in 1782 for criticizing the government.</p><h4>Key Details</h4><ul><li>First newspaper in India</li><li>Also known as Calcutta General Advertiser</li><li>Seized in 1782 for government criticism</li></ul> | | | | | | | British |
1799 | | | | | | | | | Censorship of Press Act enacted | <h3>Event Summary</h3><p>Lord Wellesley enacted the Censorship of Press Act in anticipation of a French invasion.</p><h4>Key Details</h4><ul><li>Imposed wartime press restrictions</li><li>Included pre-censorship of publications</li><li>Enacted by Lord Wellesley</li></ul> | | | | | | | Constitutional Development |
1818 | | | | | | | | | Pre-censorship dispensed with | <h3>Event Summary</h3><p>Restrictions on the press were relaxed under Lord Hastings who had progressive views, and pre-censorship was dispensed with.</p><h4>Key Details</h4><ul><li>Lord Hastings had progressive views on press freedom</li><li>Marked a temporary liberalization of press policies</li></ul> | | | | | | | Constitutional Development |
1823 | | | | | | | | | Licensing Regulations enacted | <h3>Event Summary</h3><p>Acting governor John Adams enacted Licensing Regulations with reactionary views on press freedom.</p><h4>Key Details</h4><ul><li>Using press (journals, pamphlets, books) without license became a penal offense</li><li>Restrictions specifically targeted Indian language newspapers and Indian editors</li><li>Rammohan Roy's Mirat-ul-Akbar was forced to stop publication</li></ul> | | | | | | | Constitutional Development |
1824 | | | | | | | | | Rammohan Roy protests press restrictions | <h3>Event Summary</h3><p>Rammohan Roy protested against the press restrictions imposed by the British government.</p><h4>Key Details</h4><ul><li>Part of early nationalist struggle for press freedom</li><li>Followed the closure of his publication Mirat-ul-Akbar</li></ul> | | | | | | | Freedom Movement |
1835 | | | | | | | | | Press Act of 1835 (Metcalfe Act) enacted | <h3>Event Summary</h3><p>Metcalfe, who served as Governor General from 1835-36, repealed the 1823 ordinance, earning him the title "liberator of Indian press".</p><h4>Key Details</h4><ul><li>Required printer/publisher to provide premises account</li><li>Publications could be ceased if required by authorities</li><li>Liberal press policy resulted in rapid newspaper growth</li></ul> | | | | | | | Constitutional Development |
1857 | | | | | | | | | Licensing Act imposed | <h3>Event Summary</h3><p>The Licensing Act was imposed during the emergency of the 1857 revolt.</p><h4>Key Details</h4><ul><li>Added restrictions to the Metcalfe Act registration procedure</li><li>Government reserved the right to stop publication/circulation</li><li>Enacted specifically in response to the 1857 revolt</li></ul> | | | | | | | Constitutional Development |
1867 | | | | | | | | | Registration Act replaces Metcalfe Act | <h3>Event Summary</h3><p>The Registration Act of 1867 replaced the Press Act of 1835 (Metcalfe Act).</p><h4>Key Details</h4><ul><li>Regulatory rather than restrictive in nature</li><li>Required printing printer name, publisher, and publication place</li><li>Required submission of copy to local government within one month</li></ul> | | | | | | | Constitutional Development |
1870 | | | | 1918 | | | | | Press becomes crucial nationalist tool | <h3>Event Summary</h3><p>Between 1870 and 1918, the press became a crucial tool for nationalists for propaganda and education.</p><h4>Key Details</h4><ul><li>Used primarily for propaganda and education</li><li>Not yet used for mass agitation or active mobilization of masses</li><li>Newspapers became tools of political education rather than business ventures</li></ul> | | | | | | | Freedom Movement |
1878 | | | | | | | | | Vernacular Press Act enacted | <h3>Event Summary</h3><p>The Vernacular Press Act, nicknamed the "gagging Act," was enacted during Lytton's administration.</p><h4>Key Details</h4><ul><li>Discriminated between English and vernacular publications</li><li>Required bonds against disaffection/antipathy content</li><li>Security deposits could be forfeited upon violation</li><li>Equipment could be seized for repeat offenses</li><li>No legal appeal against Magistrate decisions was allowed</li><li>Targeted newspapers included Som Prakash, Bharat Mihir, Dacca Prakash, Samachar</li><li>Amrita Bazar Patrika switched to English to avoid restrictions</li></ul> | | | | | | | Constitutional Development |
1882 | | | | | | | | | Vernacular Press Act repealed | <h3>Event Summary</h3><p>Lord Ripon repealed the Vernacular Press Act of 1878 after opposition.</p><h4>Key Details</h4><ul><li>Repealed by Lord Ripon</li><li>Decision came after significant opposition to the act</li></ul> | | | | | | | Constitutional Development |
1883 | | | | | | | | | Surendranath Banerjee imprisoned | <h3>Event Summary</h3><p>Surendranath Banerjee became the first Indian journalist to be imprisoned for criticizing a judge in The Bengalee newspaper.</p><h4>Key Details</h4><ul><li>First Indian journalist to be imprisoned</li><li>Imprisoned for criticizing a judge in his newspaper The Bengalee</li></ul> | | | | | | | Freedom Movement |
1896 | | | | 1897 | | | | | Tilak organizes cloth boycott and no-tax campaign | <h3>Event Summary</h3><p>Bal Gangadhar Tilak organized a cloth boycott and no-tax campaign during the famine of 1896-97.</p><h4>Key Details</h4><ul><li>Campaign organized during a period of famine</li><li>Included boycott of foreign cloth</li><li>Also included a no-tax campaign</li></ul> | | | | | | | Freedom Movement |
1897 | | | | | | | | | Tilak imprisoned for sedition | <h3>Event Summary</h3><p>Bal Gangadhar Tilak was imprisoned for 18 months on sedition charges related to his Kesari publication following unrest in Poona.</p><h4>Key Details</h4><ul><li>Imprisonment followed plague in Poona that led to harsh government measures</li><li>Popular unrest resulted in Rand's murder</li><li>Government targeted Tilak for his Kesari publication</li><li>Imprisonment sparked protests</li><li>Earned Tilak the title "Lokmanya" (respected by people)</li></ul> | | | | | | | Freedom Movement |
1898 | | | | | | | | | Penal Code amended to criminalize government contempt | <h3>Event Summary</h3><p>The Government amended the Penal Code (Sections 124A, 153A) to criminalize contempt against the government.</p><h4>Key Details</h4><ul><li>Amendments to Sections 124A and 153A of the Penal Code</li><li>Made showing contempt for the government a criminal offense</li></ul> | | | | | | | Constitutional Development |
1908 | | | | | | | | | Newspaper (Incitement to Offences) Act enacted | <h3>Event Summary</h3><p>The Newspaper (Incitement to Offences) Act was enacted during the Swadeshi Movement.</p><h4>Key Details</h4><ul><li>Empowered magistrates to confiscate press property</li><li>Applied to presses publishing objectionable material</li><li>Enacted in response to intensified nationalist press activity during Swadeshi Movement</li></ul> | | | | | | | Constitutional Development |
1910 | | | | | | | | | Indian Press Act enacted | <h3>Event Summary</h3><p>The Indian Press Act of 1910 revived features of the Vernacular Press Act of 1878.</p><h4>Key Details</h4><ul><li>Required security deposit from printers and publishers</li><li>Allowed forfeiture if publications were against colonialism</li><li>Required submission of copies to government</li><li>Over 1000 newspapers were prosecuted under the act</li><li>More than 5 lakh rupees were collected in security deposits</li></ul> | | | | | | | Constitutional Development |
1921 | | | | | | | | | Press Acts of 1908 and 1910 repealed | <h3>Event Summary</h3><p>The Press Acts of 1908 and 1910 were repealed following recommendations from the Sapru Committee.</p><h4>Key Details</h4><ul><li>Repeal followed Sapru Committee recommendations</li><li>Marked a temporary liberalization of press restrictions</li></ul> | | | | | | | Constitutional Development |
1931 | | | | | | | | | Indian Press (Emergency Power) Act enacted | <h3>Event Summary</h3><p>The Indian Press (Emergency Power) Act of 1931 was enacted to suppress Civil Disobedience Movement propaganda.</p><h4>Key Details</h4><ul><li>Authorized provincial governments to suppress Civil Disobedience Movement propaganda</li><li>Part of British efforts to control nationalist press</li></ul> | | | | | | | Constitutional Development |
1781 | | | | | | | | | Establishment of Calcutta Madrasah | <h3>Event Summary</h3><p>The East India Company established the Calcutta Madrasah in 1781 for Muslim law education.</p><h4>Key Details</h4><ul><li>This was one of the first educational institutions established by the British in India</li><li>The institution focused on Muslim law</li><li>Established during the first 60 years when the East India Company generally showed little interest in education</li></ul><h4>Significance</h4><p>The institution was designed to supply qualified Indians for the Company's administration.</p> | | | | | | | British |
1791 | | | | | | | | | Establishment of Sanskrit College | <h3>Event Summary</h3><p>The East India Company established the Sanskrit College in 1791 for Hindu law education.</p><h4>Key Details</h4><ul><li>The institution focused on Hindu law</li><li>Established during the period when the East India Company generally showed little interest in education</li></ul><h4>Significance</h4><p>The institution was designed to supply qualified Indians for the Company's administration.</p> | | | | | | | British |
1800 | | | | 1802 | | | | | Establishment of Fort William College | <h3>Event Summary</h3><p>Fort William College was established at Wellesley in 1800 and closed in 1802.</p><h4>Key Details</h4><ul><li>The college was established by Wellesley</li><li>It operated for only about two years</li></ul><h4>Significance</h4><p>Like other early institutions, it was designed to supply qualified Indians for the Company's administration.</p> | | | | | | | British |
1813 | | | | | | | | | Charter Act of 1813 | <h3>Event Summary</h3><p>The Charter Act of 1813 provided the first official recognition of educating Indians in modern sciences.</p><h4>Key Details</h4><ul><li>One lakh rupees was sanctioned for education</li><li>The sanctioned funds became available in 1823</li></ul><h4>Significance</h4><p>This marked the first official recognition by the British of the need to educate Indians in modern sciences.</p> | | | | | | | Constitutional Development |
1817 | | | | | | | | | Establishment of Calcutta College | <h3>Event Summary</h3><p>Raja Rammohan Roy established Calcutta College in 1817.</p><h4>Key Details</h4><ul><li>The college was founded by Raja Rammohan Roy, an enlightened Indian</li><li>It was established before the sanctioned funds from the Charter Act of 1813 became available</li></ul> | | | | | | | Socio-Religious Reforms |
1835 | | | | | | | | | Lord Macaulay's Minute | <h3>Event Summary</h3><p>Lord Macaulay issued his famous Minute on education in 1835, which favored the Anglicist position.</p><h4>Key Details</h4><ul><li>Macaulay declared Indian learning inferior</li><li>English became the medium of instruction</li><li>Established the Downward Filtration Theory</li></ul><h4>Significance</h4><p>This policy created an English-educated elite class as intermediaries and focused resources on upper/middle classes only, with knowledge expected to "filter down" to masses through elites.</p> | | | | | | | British |
1843 | | | | 1853 | | | | | Thomson's Educational Efforts | <h3>Event Summary</h3><p>Thomson developed vernacular village education in the North West Provinces from 1843 to 1853.</p><h4>Key Details</h4><ul><li>Focused on practical subjects for government departments</li><li>Emphasized vernacular education at the village level</li></ul> | | | | | | | British |
1847 | | | | 1858 | | | | "1847-1858" | Establishment of Engineering Colleges | <h3>Event Summary</h3><p>Engineering colleges were established at various locations between 1847 and 1858.</p><h4>Key Details</h4><ul><li>Engineering colleges were established at Roorkee, Calcutta, Poona, and Guindy</li><li>This represented early efforts in technical education in India</li></ul> | | | | | | | British |
1849 | | | | | | | | | Establishment of Bethune School | <h3>Event Summary</h3><p>The Bethune School for women's education was established in 1849.</p><h4>Key Details</h4><ul><li>This was a significant step in women's education in India</li><li>It was established during the period when Wood's Despatch dominated education policy</li></ul> | | | | | | | British |
1854 | | | | | | | | | Wood's Despatch | <h3>Event Summary</h3><p>Wood's Despatch of 1854 established a comprehensive education policy for India.</p><h4>Key Details</h4><ul><li>Known as the "Magna Carta of English Education" in India</li><li>Asked government to assume responsibility for mass education</li><li>Systematized educational hierarchy with vernacular primary schools in villages, Anglo-Vernacular High Schools and affiliated colleges in districts, and universities in presidencies</li><li>Established English for higher education and vernaculars for schools</li><li>Promoted female education, secular instruction, and grants-in-aid system</li></ul><h4>Significance</h4><p>Wood's Despatch dominated education policy in India for five decades.</p> | | | | | | | British |
1857 | | | | | | | | | Establishment of Universities | <h3>Event Summary</h3><p>Universities were established at Calcutta, Bombay, and Madras in 1857.</p><h4>Key Details</h4><ul><li>These were the first universities established in British India</li><li>They were established in the three presidency cities</li><li>They were created following the recommendations of Wood's Despatch</li></ul> | | | | | | | British |
1882 | | | | 1883 | | | | "1882-1883" | Hunter Education Commission | <h3>Event Summary</h3><p>The W.W. Hunter Commission was formed in 1882 to review education progress since Wood's Despatch of 1854.</p><h4>Key Details</h4><ul><li>Recommended government focus on primary education in vernacular</li><li>Advocated district and municipal board control of primary education</li><li>Proposed two divisions in secondary education: literary (leading to university) and vocational (leading to commercial careers)</li><li>Emphasized female education</li></ul> | | | | | | | British |
1882 | | | | | | | | | Establishment of Punjab University | <h3>Event Summary</h3><p>Punjab University was established in 1882.</p><h4>Key Details</h4><ul><li>This was one of the early universities established in British India</li><li>It was established after the three presidency universities</li></ul> | | | | | | | British |
1887 | | | | | | | | | Establishment of Allahabad University | <h3>Event Summary</h3><p>Allahabad University was established in 1887.</p><h4>Key Details</h4><ul><li>This was one of the early universities established in British India</li><li>It was established after the three presidency universities and Punjab University</li></ul> | | | | | | | British |
1902 | | | | | | | | | Raleigh Commission | <h3>Event Summary</h3><p>The Raleigh Commission was formed in 1902 to examine university conditions in India.</p><h4>Key Details</h4><ul><li>The commission's findings led to the Indian Universities Act of 1904</li><li>It examined the conditions of universities in India</li></ul> | | | | | | | British |
1904 | | | | | | | | | Indian Universities Act | <h3>Event Summary</h3><p>The Indian Universities Act was passed in 1904 following the recommendations of the Raleigh Commission.</p><h4>Key Details</h4><ul><li>Enhanced research focus in universities</li><li>Increased government control over fellows and university regulations</li><li>Imposed strict conditions for affiliation of private colleges</li><li>Provided a grant of 5 lakh rupees for higher education</li></ul><h4>Significance</h4><p>Gokhale criticized it as a "retrograde measure" due to increased government control.</p> | | | | | | | British |
1906 | | | | | | | | | Introduction of Compulsory Primary Education in Baroda | <h3>Event Summary</h3><p>Baroda introduced compulsory primary education in 1906.</p><h4>Key Details</h4><ul><li>This was a pioneering step in making primary education compulsory in India</li><li>It preceded Gokhale's efforts to introduce compulsory education nationwide</li></ul> | | | | | | | British |
1910 | | | | | | | | | Gokhale's Resolution on Education | <h3>Event Summary</h3><p>Gokhale presented a resolution demanding compulsory primary education in 1910.</p><h4>Key Details</h4><ul><li>The resolution demanded compulsory primary education</li><li>It called for a department of education</li><li>It advocated for an education secretary</li></ul> | | | | | | | Freedom Movement |
1911 | | | | | | | | | Rejection of Gokhale's Education Bill | <h3>Event Summary</h3><p>Gokhale's bill for free compulsory education was rejected in 1911.</p><h4>Key Details</h4><ul><li>The bill sought to introduce free and compulsory education in India</li><li>It was rejected by the British government</li></ul> | | | | | | | Freedom Movement |
1913 | | | | | | | | | Government Resolution on Education Policy | <h3>Event Summary</h3><p>The British government introduced a resolution on education policy in 1913.</p><h4>Key Details</h4><ul><li>Refused to implement compulsory education</li><li>Focused on illiteracy removal</li><li>Urged provincial governments to provide free elementary education to poor and backward sections</li><li>Recommended university establishment in each province</li><li>Advocated curriculum for practical utility of girls</li></ul> | | | | | | | British |
1917 | | | | 1919 | | | | "1917-1919" | Sadler University Commission | <h3>Event Summary</h3><p>The Michael Sadler Commission studied Calcutta University from 1917 to 1919 and made broadly applicable recommendations for higher education in India.</p><h4>Key Details</h4><ul><li>Proposed 12-year schooling</li><li>Recommended intermediate stage before university</li><li>Advocated separate secondary and intermediate education boards</li><li>Supported centralized residential universities with less rigid regulations</li><li>Called for expanded female and technical education</li></ul> | | | | | | | British |
1916 | | | | 1921 | | | | "1916-1921" | Establishment of New Universities | <h3>Event Summary</h3><p>Seven new universities were established between 1916 and 1921, expanding beyond the existing examination-focused institutions.</p><h4>Key Details</h4><ul><li>These universities were established following the implementation of Sadler Commission recommendations</li><li>They included teaching and residential universities</li><li>Introduced honor courses, research facilities, education departments, and the post of Professor</li><li>Created Inter University Board and Student Welfare Board</li></ul> | | | | | | | British |
1919 | | | | | | | | | Transfer of Education to Provinces under Dyarchy | <h3>Event Summary</h3><p>The Government of India Act 1919 transferred education to provincial control under the dyarchy system.</p><h4>Key Details</h4><ul><li>The central government ceased direct interest in education</li><li>Central government grants for education were discontinued</li><li>Financial constraints limited educational expansion</li><li>Growth primarily occurred through philanthropic efforts</li></ul> | | | | | | | Constitutional Development |
1929 | | | | | | | | | Hartog Committee | <h3>Event Summary</h3><p>The Hartog Committee was formed in 1929 under Philip Hartog to address deteriorating education standards in India.</p><h4>Key Details</h4><ul><li>Identified issues in primary education including insufficient school expansion, poor quality, high wastage rates</li><li>Found secondary education to be examination-focused with high failure rates</li><li>Noted low standards and overcrowding in higher education</li><li>Recommended government control of primary schools, diversified curriculum in secondary education, and improved university standards</li><li>Emphasized equal importance for women's education</li></ul> | | | | | | | British |
1944 | | | | | | | | | Sargent Plan | <h3>Event Summary</h3><p>The Sargent Plan of 1944 proposed a long-term educational development plan targeting universal literacy within 40 years.</p><h4>Key Details</h4><ul><li>Proposed free pre-primary education for ages 3-6 with women teachers</li><li>Advocated universal, free education in two stages (Junior Basic for ages 6-11 and Senior Basic for ages 11-14)</li><li>Recommended six-year high schools for exceptional students in academic and technical/vocational streams</li><li>Suggested university reforms including improved selection and 3-year degrees</li><li>Included initiatives for adult literacy and special education</li></ul><h4>Significance</h4><p>The plan was criticized as too slow, expensive, and utopian for Indian conditions.</p> | | | | | | | British |
1835 | | | | | | | | | Beginning of Medical Education in Calcutta | <h3>Event Summary</h3><p>Medical education began in Calcutta in 1835.</p><h4>Key Details</h4><ul><li>This marked the beginning of formal Western medical education in India</li><li>It was part of the limited technical education initiatives during British rule</li></ul> | | | | | | | British |
1937 | | | | | | | | | Congress Ministries Support for Vernacular Schools | <h3>Event Summary</h3><p>Congress ministries provided support for vernacular schools in 1937.</p><h4>Key Details</h4><ul><li>This represented Indian nationalist efforts to promote education in vernacular languages</li><li>It occurred during the period when Congress formed provincial governments</li></ul> | | | | | | | Freedom Movement |
1859 | | | | 1860 | | | | 1859-1860 | Indigo Revolt | <h3>Event Summary</h3><p>Peasants in Bengal revolted against European planters who forced them to cultivate unprofitable indigo through coercion.</p><h4>Key Details</h4><ul><li>Led by Digambar Biswas and Bishnu Biswas</li><li>Peasants used counter-force, rent strikes, and legal machinery as tactics</li><li>Bengali intelligentsia provided crucial support</li><li>In 1860, a Government notification ended forced cultivation</li></ul><h4>Significance</h4><p>This was one of the early organized peasant movements against colonial exploitation.</p> | | | | | | | Freedom Movement |
1870 | | | | 1880 | | | | 1870s-1880s | Pabna Agrarian Leagues | <h3>Event Summary</h3><p>Peasants in Eastern Bengal formed leagues to resist zamindars who imposed illegal rents and prevented occupancy rights.</p><h4>Key Details</h4><ul><li>Centered in Yusufshahi Pargana</li><li>Used rent strikes and legal challenges funded by collective action</li><li>Intellectuals like Bankim Chatterjee and R.C. Dutt supported the peasant cause</li><li>Partially resolved with the Bengal Tenancy Act of 1885</li></ul><h4>Significance</h4><p>This movement demonstrated organized peasant resistance using legal means against zamindari exploitation.</p> | | | | | | | Freedom Movement |
1885 | | | | | | | | | Bengal Tenancy Act | <h3>Event Summary</h3><p>The Bengal Tenancy Act was passed following the partial resolution of the Pabna agrarian struggles.</p><h4>Key Details</h4><ul><li>Came after peasant agitation in Eastern Bengal</li><li>Addressed issues related to tenant rights and illegal rents</li><li>Followed the Pabna peasant movement of the 1870s-1880s</li></ul><h4>Significance</h4><p>This legislation represented a concession to peasant demands and provided some legal protections.</p> | | | | | | | Constitutional Development |
1864 | | | | | | | | | Cotton Crash | <h3>Event Summary</h3><p>A crash in cotton prices following the American Civil War worsened conditions for Deccan peasants.</p><h4>Key Details</h4><ul><li>Affected ryotwari areas where peasants were already trapped in debt to moneylenders</li><li>Contributed to the economic distress that later led to the Deccan Riots</li></ul><h4>Significance</h4><p>This economic crisis deepened peasant indebtedness and set the stage for later agrarian unrest.</p> | | | | | | | Economic Policies |
